mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.35796370506286623,0.12149162947820309,0.0011620521545410156,0.00012803961192358796,0.1,"(100,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,)}",0.5343511450381679,0.5267175572519084,0.5593869731800766,0.5524296675191815,0.5736235595390525,0.5492598264420623,0.01695163532489983,7,0.5622605363984674,0.5565134099616859,0.5748006379585326,0.5784438775510204,0.5731590691743704,0.5690355062088154,0.008263910421692899
0.28315153121948244,0.1089927544761921,0.0008892059326171875,0.00010379799759064671,0.1,"(50,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,)}",0.5407124681933843,0.5267175572519084,0.5363984674329502,0.551150895140665,0.5569782330345711,0.5423685553854007,0.010712386718191604,12,0.5526819923371648,0.5488505747126436,0.5776714513556619,0.5666454081632653,0.5467006694293911,0.5585100191996253,0.011832806452929756
0.5872758388519287,0.18815620060631386,0.001422119140625,0.00034795498471888666,0.1,"(50, 50)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50)}",0.5712468193384224,0.544529262086514,0.5530012771392082,0.5549872122762148,0.5505761843790012,0.5548749361919346,0.008923662226580737,4,0.5791826309067688,0.6088761174968071,0.6105263157894737,0.5835459183673469,0.5597704813516098,0.5883802927824012,0.019167757489191445
0.3604423999786377,0.065196349160311,0.0012043476104736327,0.0001406859207308008,0.01,"(100,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100,)}",0.5508905852417303,0.5368956743002544,0.558109833971903,0.5537084398976982,0.5736235595390525,0.5546197039305768,0.011849058329502891,5,0.5644955300127714,0.5734355044699873,0.5783094098883572,0.5800382653061225,0.5737966209754543,0.5740150661305385,0.005398620092592264
0.2625862121582031,0.1005679198749854,0.0008959770202636719,7.266535206054595e-05,0.01,"(50,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,)}",0.5407124681933843,0.5267175572519084,0.5389527458492975,0.5537084398976982,0.5569782330345711,0.543389484430832,0.010917575143283812,9,0.5520434227330779,0.5498084291187739,0.5821371610845295,0.5644132653061225,0.5470194453299331,0.5590843447144873,0.012969261558850207
0.4019338130950928,0.11229477933880962,0.0010985374450683595,5.148088192122236e-05,0.01,"(50, 50)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50)}",0.5699745547073791,0.5407124681933843,0.5440613026819924,0.5639386189258312,0.5480153649167734,0.5533435426237876,0.01152289989681914,6,0.578544061302682,0.5909961685823755,0.6006379585326954,0.5618622448979592,0.5594517054510679,0.578298427753356,0.016035552013187182
0.44294004440307616,0.13605246132450663,0.001373434066772461,0.0002861205174682853,0.001,"(100,)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100,)}",0.5508905852417303,0.5368956743002544,0.558109833971903,0.5664961636828645,0.5736235595390525,0.5571720265441552,0.012722914350459911,2,0.5648148148148148,0.5737547892720306,0.5779904306220096,0.5870535714285714,0.5734778450749123,0.5754182902424677,0.007224429783499076
0.2655939102172852,0.07871819470779681,0.0009815216064453125,0.00024977768115040845,0.001,"(50,)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,)}",0.539440203562341,0.5267175572519084,0.5376756066411239,0.5537084398976982,0.5569782330345711,0.5428790199081164,0.011100219932311379,10,0.5520434227330779,0.5491698595146871,0.5748006379585326,0.5647321428571429,0.5470194453299331,0.5575531016786748,0.010588761658514696
0.47615504264831543,0.13941439025453353,0.0011701107025146485,5.9900958715316315e-05,0.001,"(50, 50)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50)}",0.5712468193384224,0.5470737913486005,0.5491698595146871,0.5613810741687979,0.5480153649167734,0.5553854007146504,0.00948962442955805,3,0.5779054916985952,0.5919540229885057,0.6044657097288676,0.6058673469387755,0.5594517054510679,0.5879288553611624,0.01745207662715854
0.43076815605163576,0.10463495690108993,0.0013350486755371095,0.00023474953363478547,0.0001,"(100,)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100,)}",0.5508905852417303,0.5534351145038168,0.558109833971903,0.5562659846547314,0.5736235595390525,0.5584481878509444,0.007961088449310184,1,0.5648148148148148,0.5798212005108557,0.5783094098883572,0.5794005102040817,0.5734778450749123,0.5751647560986044,0.005647652401548946
0.3316205024719238,0.11351497917576198,0.0018300056457519532,0.0009033545064938324,0.0001,"(50,)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,)}",0.539440203562341,0.5267175572519084,0.5376756066411239,0.5537084398976982,0.5569782330345711,0.5428790199081164,0.011100219932311379,10,0.5517241379310345,0.5491698595146871,0.5748006379585326,0.5647321428571429,0.5473382212304749,0.5575529998983745,0.010560449706690898
0.40970673561096194,0.1250727249729938,0.0011581897735595704,3.4357234041909676e-05,0.0001,"(50, 50)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50)}",0.5712468193384224,0.5458015267175572,0.5261813537675607,0.551150895140665,0.5505761843790012,0.5490045941807045,0.014381121023372016,8,0.5769476372924649,0.5916347381864623,0.5594896331738437,0.5924744897959183,0.5604080331526936,0.5761909063202766,0.014368516175438892
