,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.8876953919728597,0.05606601572073454,0.007941484451293945,0.0016738010010074959,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 2}",0.7788,0.7788,0.7788,0.7788000000000002,1.1102230246251565e-16,133,0.7788,0.7788,0.7788,0.7788,0.0
1,1.517175277074178,0.287569098302135,0.009315093358357748,0.0002818131361572744,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 5}",0.7992,0.8038,0.8071,0.8033666666666667,0.0032396844839514207,103,0.80715,0.80495,0.8015,0.8045333333333334,0.0023253434632807077
2,1.904948075612386,0.30322433824117034,0.00919016202290853,0.0008288758594733571,0.1,"(100,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 10}",0.7953,0.8022,0.8065,0.8013333333333333,0.004613265895460849,127,0.80585,0.8036,0.80115,0.8035333333333332,0.001919345953414541
3,2.8286969661712646,0.43666249422112335,0.009785652160644531,0.00029966227899196735,0.1,"(100,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 15}",0.797,0.8034,0.8085,0.8029666666666667,0.004704843839656676,106,0.8051,0.80295,0.80255,0.8035333333333333,0.001119771802149401
4,3.5962344805399575,0.3310616166890707,0.033169825871785484,0.03162671525028639,0.1,"(100,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 20}",0.801,0.8042,0.8141,0.8064333333333333,0.005576338902501855,39,0.80785,0.80195,0.8064,0.8054,0.0025103120655939337
5,4.451249281565349,0.32880430620498075,0.010935068130493164,0.0005872685026122119,0.1,"(100,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 25}",0.7979,0.8056,0.812,0.8051666666666667,0.005764450441185948,65,0.80995,0.80695,0.8038,0.8068999999999998,0.0025109759058979395
6,4.4258419672648115,0.7224894029096367,0.008164644241333008,0.0017545818003519996,0.1,"(100,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 30}",0.7986,0.8069,0.8028,0.8027666666666666,0.003388542787426795,108,0.8074,0.8071,0.7993,0.8046000000000001,0.0037496666518505406
7,4.446936686833699,0.13808337935242318,0.009592612584431967,0.0015954290261344626,0.1,"(100,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 35}",0.7956,0.8044,0.8136,0.8045333333333333,0.007349074015744363,81,0.80845,0.80515,0.80595,0.8065166666666667,0.0014055445761538506
8,5.998860597610474,0.27792081379631167,0.010842323303222656,0.001664790981362167,0.1,"(100,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 40}",0.8002,0.8076,0.8121,0.8066333333333333,0.004906005390222166,33,0.8107,0.80735,0.8043,0.8074499999999999,0.002613745715762454
9,6.3766093254089355,0.905972967601226,0.010420640309651693,0.0012093519203302922,0.1,"(100,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 50}",0.7992,0.8049,0.8128,0.8056333333333333,0.005576338902501831,54,0.80755,0.802,0.8033,0.8042833333333334,0.0023700679783968475
10,10.825500011444092,1.92907568685851,0.02128760019938151,0.013088944044941563,0.1,"(100,)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 60}",0.8011,0.8101,0.8158,0.809,0.006051446108162884,5,0.81045,0.80905,0.80615,0.80855,0.0017907168024750965
11,8.935614983240763,0.33434994436672355,0.011507829030354818,0.00044780587706586125,0.1,"(100,)",70,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'km__n_clusters': 70}",0.8028,0.8103,0.8068,0.8066333333333333,0.0030641293851417306,33,0.81295,0.8089,0.8041,0.80865,0.0036173194495371483
12,0.7470080057779948,0.04874236253993386,0.003908395767211914,0.001057697067366976,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.7788,0.7788,0.7788,0.7788000000000002,1.1102230246251565e-16,133,0.7788,0.7788,0.7788,0.7788,0.0
13,1.1526132424672444,0.10587803835506095,0.004935105641682942,0.0009829504519210438,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.7942,0.8018,0.8087,0.8015666666666666,0.005921899094791187,125,0.801,0.8018,0.80155,0.80145,0.0003341656275960202
14,1.9583086172739665,0.2893789326862106,0.00537864367167155,0.0019469235703585088,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.8001,0.8042,0.8093,0.8045333333333333,0.00376327280730778,81,0.80645,0.80225,0.80235,0.8036833333333333,0.00195675468285855
15,2.373335282007853,0.28077076564627645,0.004935344060262044,0.000726633033716949,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.7978,0.8037,0.8088,0.8034333333333333,0.004494688223027517,101,0.8031,0.80385,0.802,0.8029833333333333,0.000759751421336063
16,3.4577694733937583,0.2572082323935375,0.007939815521240234,0.0010410298383229225,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.7981,0.8021,0.8118,0.804,0.0057521010654078665,91,0.80615,0.80285,0.80465,0.80455,0.0013490737563232366
17,4.356939315795898,0.40836515944804835,0.005668322245279948,0.0010008717925658057,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",0.7995,0.8053,0.8141,0.8063,0.006002221810851957,44,0.80895,0.8046,0.8032,0.8055833333333333,0.002448241999657865
18,4.703680117925008,0.29904283435222107,0.006382544835408528,0.0012804965717268918,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",0.8021,0.8067,0.8114,0.8067333333333333,0.003796782263385073,29,0.813,0.8056,0.8045,0.8077,0.0037744756810273016
19,5.008998473485311,0.44183876558221585,0.0055704911549886065,4.6627072878681706e-05,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 35}",0.8007,0.8024,0.8134,0.8055,0.00562909110484693,60,0.81045,0.80195,0.80625,0.8062166666666667,0.0034701905167039584
