,housing SSE (left),perm SSE (left)
2,33983.88955299508,598482.2704371732
5,26923.731844133687,464147.44668541243
10,21863.852527922434,388411.02428660454
15,19633.30603625616,337711.5354277658
20,18138.831874118252,308327.27344163996
25,16978.145802315197,289622.0171910043
30,15940.702115934622,271493.4556832055
35,15146.269910582418,259583.42364255534
40,14377.850038815423,248327.44723963318
50,13432.145369200456,232643.7402002985
60,12598.784459389908,219900.1888638359
70,11889.90320592864,210688.26274019797
