,housing log-likelihood,perm log-likelihood
2,-12.17345045557992,-12.680086486541349
5,-11.151662940530578,0.9694654758307223
10,-10.520713972736791,4.514468749123168
15,-10.207601719513375,12.222139552631273
20,-9.925690336393485,14.908734802850487
25,-9.624273193561102,17.432458394059694
30,-9.447252168764365,17.790003835927383
35,-9.249063049011392,18.282047388617332
40,-9.15921483379566,19.271252377928082
50,-8.696691276415518,21.088092685890345
60,-8.517072049080442,23.85110410213349
70,-8.23187197830005,25.80839440652149
