,housing SSE (left),perm SSE (left)
2,8.257613926705604,4.256374939969973
5,6.541545351048263,2.8314868373252278
10,5.048456942987282,1.8673719669424829
15,4.525141441007743,1.5000220658140853
20,4.198555308084807,1.294072853820593
25,3.9181265726125156,1.142111264080366
30,3.70249084593976,1.0330994540662455
35,3.541161719177511,0.9537073468762256
40,3.3713152074095944,0.8949393165546222
50,3.1244164232603877,0.7954144653673905
60,2.9175869490689514,0.7228888534220763
70,2.768165767172442,0.6678236264404245
