,housing log-likelihood,perm log-likelihood
2,25.3052408394866,19.751372711628584
5,26.03408666972998,20.347129438649382
10,26.374611231548112,20.55313624875791
15,26.630407432004915,20.59806378065852
20,26.827845268980862,20.65094840879965
25,27.006487440749293,20.6762475598572
30,27.09471249093223,20.690114786560123
35,27.271406749894116,20.700947015505317
40,27.41424992521707,20.731717220641084
50,27.590428401294517,20.754946892737514
60,27.839027066374413,20.761687402192592
70,28.032927497513516,20.764639397194358
