,housing SSE (left),perm SSE (left)
2,32790.19936766394,320027.9221906983
5,25730.544782648016,187306.19138603515
10,20702.79758974618,127086.1587336276
15,18523.153345017774,101683.94773549531
20,17012.23018395152,85256.7472099986
25,15925.161699829769,75003.90040771604
30,14972.702242379737,68158.00761399316
35,14096.198608811064,62848.472730876805
40,13519.823532887578,58465.91485411985
50,12445.379946132776,52336.197834052895
60,11686.827533456806,47504.70280402564
70,10970.997408963489,43889.59856370649
