,housing log-likelihood,perm log-likelihood
2,-11.932824992985967,-8.041088223960632
5,-11.202241715019307,-7.086943934932897
10,-10.826173730762571,-6.804100697315593
15,-10.588090448312512,-6.657950596476444
20,-10.408220789760412,-6.519720649953203
25,-10.269274378249824,-6.498729568743603
30,-10.104472726937752,-6.458007192895164
35,-9.989120413116758,-6.4124205678746184
40,-9.823516319807208,-6.380430819463449
50,-9.554410196492872,-6.3351981181937544
60,-9.28038490082389,-6.3055191928388865
70,-9.039025495194684,-6.2714589958584535
