,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.448033618927002,0.44757838068755024,0.0060771465301513675,0.0009138761670930697,0.1,"(100,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 2}",0.7965339110148308,0.8003333333333333,0.7993333333333333,0.8115,0.8094682447074513,0.8034333333333333,0.005924781150036265,63,0.8077419892495521,0.8030833333333334,0.8034583333333334,0.802875,0.8022165743094037,0.8038750460451245,0.001975060952932972
1,1.3976781368255615,0.3055916930587351,0.006342267990112305,0.0009253330994786953,0.1,"(100,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 3}",0.7953674387602067,0.8018333333333333,0.801,0.8113333333333334,0.8094682447074513,0.8038,0.005860076322548538,60,0.8051168798699946,0.8042083333333333,0.8047083333333334,0.8015,0.8032581975751011,0.8037583488223523,0.001288476147406834
2,1.8843605995178223,0.18592842867599252,0.006698989868164062,0.0011157529018551023,0.1,"(100,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 4}",0.7975337443759374,0.801,0.8043333333333333,0.8145,0.8091348558093016,0.8053,0.0059848624274150015,36,0.8087836993208051,0.8056666666666666,0.8065833333333333,0.8037916666666667,0.8046331402858214,0.8058917012546585,0.0017255010458230534
3,2.50004358291626,0.37794157294305486,0.0070555686950683595,0.0014581091131653826,0.1,"(100,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 5}",0.7955340776537244,0.8015,0.8065,0.8138333333333333,0.8074679113185531,0.8049666666666667,0.006135640361268174,46,0.8102420934205592,0.8080416666666667,0.807375,0.802375,0.8032998625057289,0.806266724518591,0.0029708598758746664
4,3.10801248550415,1.2629572366676876,0.010608911514282227,0.005034403822008509,0.1,"(100,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 6}",0.7940343276120646,0.8018333333333333,0.8061666666666667,0.8146666666666667,0.8124687447907984,0.8058333333333333,0.007448489440834035,25,0.8023250968790366,0.8089583333333333,0.8085833333333333,0.804875,0.804424815632682,0.8058333158356771,0.002551006582059376
5,2.111436367034912,0.5206320763336839,0.007329130172729492,0.001068766446506187,0.1,"(100,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100,), 'pca__n_components': 7}",0.7975337443759374,0.8021666666666667,0.8058333333333333,0.8108333333333333,0.8134689114852476,0.8059666666666667,0.005753999472572075,18,0.8107421142547606,0.8098333333333333,0.8091666666666667,0.80275,0.8064663972334486,0.8077917022976419,0.0028961667973346965
6,1.4834604740142823,0.5300912834974705,0.0033162117004394533,0.0006163532881510593,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.798366938843526,0.803,0.8025,0.8103333333333333,0.8106351058509752,0.8049666666666667,0.004784199988709356,46,0.8072836368182008,0.8056666666666666,0.80625,0.8015,0.80288321319945,0.8047167033368634,0.002170319926837893
7,1.5485172271728516,0.37379650952725973,0.003927850723266601,0.0004400947259367558,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",0.7962006332277953,0.8011666666666667,0.8031666666666667,0.8131666666666667,0.8116352725454242,0.8050666666666667,0.006421667106350575,44,0.8064086003583483,0.806125,0.8065,0.803375,0.8035081871588684,0.8051833575034435,0.0014281323924734198
8,1.265134906768799,0.5567549437137642,0.0038774490356445314,0.0005504524674116332,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",0.7935344109315114,0.8028333333333333,0.7986666666666666,0.8088333333333333,0.8096349391565261,0.8027,0.006099356083786108,66,0.8043668486186925,0.8062916666666666,0.8027083333333334,0.7990833333333334,0.8043414857714262,0.8033583335446904,0.0024201760779651773
9,1.2683847904205323,0.3002527607329272,0.004202985763549804,0.0011457378165160446,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",0.7958673554407599,0.7993333333333333,0.8,0.8093333333333333,0.8079679946657776,0.8025,0.005231931011989914,67,0.807366973623901,0.8046666666666666,0.803125,0.800625,0.8038831715345194,0.8039333623650174,0.002187631223348912
10,2.65774245262146,1.3768094137686273,0.004222965240478516,0.0002994848116767784,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 6}",0.7985335777370438,0.8031666666666667,0.8016666666666666,0.8148333333333333,0.812968828138023,0.8062333333333334,0.006463347975878718,11,0.8092420517521564,0.809,0.8045833333333333,0.8040416666666667,0.8071747010541227,0.8068083505612558,0.0021663648293717016
11,2.406949996948242,0.45599836923570636,0.004771804809570313,0.0009070876606855029,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 7}",0.7978670221629728,0.8021666666666667,0.8051666666666667,0.8168333333333333,0.8141356892815469,0.8072333333333334,0.007176060279512222,4,0.8104921038376599,0.81175,0.8084166666666667,0.8064583333333334,0.8065080621640764,0.8087250332003473,0.0021175902133383725
12,2.230273199081421,0.18131122765794688,0.005919790267944336,0.000755278277812265,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.7962006332277953,0.8028333333333333,0.8016666666666666,0.8113333333333334,0.8124687447907984,0.8049,0.006149492317142928,48,0.8072419684153507,0.8056666666666666,0.8062083333333333,0.802625,0.8041748260489147,0.805183358892853,0.0016176755481818307
13,2.8599359512329103,0.6352056894096463,0.006703805923461914,0.0004989694609784366,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.7977003832694551,0.802,0.804,0.8138333333333333,0.8119686614435739,0.8059,0.006096313829402114,20,0.8075753156381515,0.8054583333333334,0.806,0.8042083333333333,0.8038831715345194,0.8054250307678675,0.0013276374689500995
