,housing SSE (left),perm SSE (left)
2,26264.92751888572,123195.3275057928
5,19541.9028742722,77024.61410309108
10,15498.2949859823,54428.01097539392
15,13537.570926386441,45056.44655035726
20,12231.90047679214,39534.77400413898
25,11321.93709193318,35278.997693693054
30,10624.609400875659,32151.62446798689
35,10067.665397625038,29627.044577887533
40,9547.489322393245,27701.20056499832
50,8788.948822835417,24954.96330136257
60,8204.450320270442,22816.14466834531
70,7736.889161049871,21179.009304987758
