,housing log-likelihood,perm log-likelihood
2,-9.603823192349846,-6.3288882974309555
5,-8.599873407097514,-2.9722576347626117
10,-8.243714050227302,-1.848858321506713
15,-7.935096944637699,0.10353955845080982
20,-7.755543619326896,0.6178853607048111
25,-7.607319077678926,0.7411074776566556
30,-7.512845372229085,0.8491404860174688
35,-7.388013038262022,0.8691114461258515
40,-7.323315929127716,0.8322775408094134
50,-7.033127310038875,1.0116981335013768
60,-6.717726497233488,1.0276495422940752
70,-6.494012686349485,1.1326839733855472
