,housing SSE (left),perm SSE (left)
2,24653.596516016478,595266.3310499977
5,17274.32739800048,375571.34852131363
10,13389.299778051372,259448.28692298057
15,11535.984014236055,214473.10106153702
20,10435.981719264259,183494.11729429924
25,9553.447968677528,160339.652230519
30,8822.49414270964,145364.50384539814
35,8305.363375729396,132927.600032314
40,7832.504323467452,123257.55648629658
50,7133.28202725257,110026.24805448545
60,6609.9717406431355,100118.18965643016
70,6189.3607631099785,92060.85046817861
